	gene_short_name
Xkr4	Xkr4
Gm1992	Gm1992
Gm37381	Gm37381
Rp1	Rp1
Rp1.1	Rp1.1
Sox17	Sox17
Gm37323	Gm37323
Mrpl15	Mrpl15
Lypla1	Lypla1
Gm37988	Gm37988
Tcea1	Tcea1
Rgs20	Rgs20
Gm16041	Gm16041
Atp6v1h	Atp6v1h
Oprk1	Oprk1
Npbwr1	Npbwr1
Rb1cc1	Rb1cc1
4732440D04Rik	4732440D04Rik
Fam150a	Fam150a
St18	St18
Pcmtd1	Pcmtd1
Gm26901	Gm26901
Gm30414	Gm30414
Sntg1	Sntg1
Rrs1	Rrs1
Adhfe1	Adhfe1
3110035E14Rik	3110035E14Rik
Gm29520	Gm29520
Mybl1	Mybl1
Vcpip1	Vcpip1
1700034P13Rik	1700034P13Rik
Sgk3	Sgk3
Mcmdc2	Mcmdc2
Snhg6	Snhg6
Tcf24	Tcf24
Ppp1r42	Ppp1r42
Gm15818	Gm15818
Cops5	Cops5
Cspp1	Cspp1
Arfgef1	Arfgef1
Cpa6	Cpa6
Prex2	Prex2
A830018L16Rik	A830018L16Rik
Gm17644	Gm17644
Gm29663	Gm29663
Sulf1	Sulf1
Slco5a1	Slco5a1
Gm29283	Gm29283
Prdm14	Prdm14
Ncoa2	Ncoa2
Gm29570	Gm29570
Tram1	Tram1
Lactb2	Lactb2
Xkr9	Xkr9
Eya1	Eya1
Gm9947	Gm9947
Msc	Msc
Trpa1	Trpa1
Kcnb2	Kcnb2
Terf1	Terf1
Sbspon	Sbspon
4930444P10Rik	4930444P10Rik
Rpl7	Rpl7
Rdh10	Rdh10
Gm28095	Gm28095
Stau2	Stau2
Gm7568	Gm7568
Ube2w	Ube2w
Tceb1	Tceb1
D030040B21Rik	D030040B21Rik
Tmem70	Tmem70
Ly96	Ly96
Gm28376	Gm28376
Jph1	Jph1
Gm28783	Gm28783
Gdap1	Gdap1
Gm28784	Gm28784
Pi15	Pi15
Gm28154	Gm28154
Gm16070	Gm16070
Crispld1	Crispld1
Gm28153	Gm28153
Crisp4	Crisp4
Defb18	Defb18
Defb41	Defb41
Gm29006	Gm29006
Gm15825	Gm15825
Tfap2d	Tfap2d
Tfap2b	Tfap2b
Gm28340	Gm28340
Pkhd1	Pkhd1
4930486I03Rik	4930486I03Rik
Gm28653	Gm28653
Il17a	Il17a
Il17f	Il17f
Mcm3	Mcm3
Gm28065	Gm28065
6720483E21Rik	6720483E21Rik
Paqr8	Paqr8
Efhc1	Efhc1
Tram2	Tram2
Gm28287	Gm28287
Tmem14a	Tmem14a
Gsta3	Gsta3
Gm28836	Gm28836
Khdc1a	Khdc1a
Khdc1c	Khdc1c
Khdc1b	Khdc1b
Kcnq5	Kcnq5
Gm26580	Gm26580
Rims1	Rims1
4933415F23Rik	4933415F23Rik
Gm27028	Gm27028
Gm29107	Gm29107
Ogfrl1	Ogfrl1
Gm28822	Gm28822
B3gat2	B3gat2
Smap1	Smap1
Sdhaf4	Sdhaf4
Fam135a	Fam135a
Col9a1	Col9a1
Col19a1	Col19a1
Lmbrd1	Lmbrd1
Gm28237	Gm28237
Gm29414	Gm29414
Adgrb3	Adgrb3
4931408C20Rik	4931408C20Rik
Gm5524	Gm5524
Gm597	Gm597
Gm9898	Gm9898
Phf3	Phf3
Ptp4a1	Ptp4a1
Gm29669	Gm29669
Gm28644	Gm28644
4931428L18Rik	4931428L18Rik
Gm29128	Gm29128
Lgsn	Lgsn
Pih1d3	Pih1d3
Khdrbs2	Khdrbs2
Gm5415	Gm5415
Gm37724	Gm37724
Gm37591	Gm37591
Prim2	Prim2
Rab23	Rab23
Bag2	Bag2
Zfp451	Zfp451
Bend6	Bend6
Dst	Dst
Gm37958	Gm37958
Gm37233	Gm37233
Ccdc115	Ccdc115
Gm28306	Gm28306
Imp4	Imp4
Ptpn18	Ptpn18
4930568A12Rik	4930568A12Rik
Prss39	Prss39
Cfc1	Cfc1
Prss40	Prss40
1700101I19Rik	1700101I19Rik
Amer3	Amer3
Arhgef4	Arhgef4
Gm38336	Gm38336
Fam168b	Fam168b
Plekhb2	Plekhb2
Gm37068	Gm37068
Gm28415	Gm28415
1110002O04Rik	1110002O04Rik
Gm37146	Gm37146
Gm33222	Gm33222
4930535G08Rik	4930535G08Rik
Hs6st1	Hs6st1
Gm37335	Gm37335
Gm33280	Gm33280
Uggt1	Uggt1
Neurl3	Neurl3
Arid5a	Arid5a
4930403P22Rik	4930403P22Rik
Kansl3	Kansl3
Fer1l5	Fer1l5
Lman2l	Lman2l
Cnnm4	Cnnm4
Cnnm3	Cnnm3
Gm38033	Gm38033
Ankrd23	Ankrd23
Gm43543	Gm43543
Ankrd39	Ankrd39
Sema4c	Sema4c
Fam178b	Fam178b
Cox5b	Cox5b
Actr1b	Actr1b
4933424G06Rik	4933424G06Rik
Gm33533	Gm33533
Zap70	Zap70
Tmem131	Tmem131
Vwa3b	Vwa3b
Gm37020	Gm37020
Cnga3	Cnga3
Inpp4a	Inpp4a
4930439A04Rik	4930439A04Rik
Coa5	Coa5
Unc50	Unc50
Mgat4a	Mgat4a
2010300C02Rik	2010300C02Rik
4930556I23Rik	4930556I23Rik
Tsga10	Tsga10
Gm26805	Gm26805
Lipt1	Lipt1
Mitd1	Mitd1
Mrpl30	Mrpl30
Lyg2	Lyg2
Gm15457	Gm15457
Lyg1	Lyg1
Txndc9	Txndc9
Eif5b	Eif5b
Rev1	Rev1
Gm5099	Gm5099
Aff3	Aff3
Gm16150	Gm16150
Gm16151	Gm16151
Gm16152	Gm16152
Lonrf2	Lonrf2
Chst10	Chst10
Gm37707	Gm37707
Nms	Nms
Pdcl3	Pdcl3
Gm37821	Gm37821
Npas2	Npas2
Rpl31	Rpl31
Tbc1d8	Tbc1d8
Cnot11	Cnot11
Rnf149	Rnf149
Creg2	Creg2
D930019O06Rik	D930019O06Rik
Rfx8	Rfx8
Gm3646	Gm3646
1700066B17Rik	1700066B17Rik
Map4k4	Map4k4
Il1r2	Il1r2
Gm16894	Gm16894
Il1r1	Il1r1
Il1rl2	Il1rl2
Il1rl1	Il1rl1
Il18r1	Il18r1
Il18rap	Il18rap
Gm35801	Gm35801
Slc9a4	Slc9a4
Slc9a2	Slc9a2
Gm37623	Gm37623
Gm37915	Gm37915
Mfsd9	Mfsd9
Tmem182	Tmem182
4930448I06Rik	4930448I06Rik
Gm28634	Gm28634
Gm29260	Gm29260
Gm9915	Gm9915
Gm29664	Gm29664
Gm28175	Gm28175
Gm28140	Gm28140
Pantr1	Pantr1
Pou3f3	Pou3f3
Dalir	Dalir
Mrps9	Mrps9
Gpr45	Gpr45
Tgfbrap1	Tgfbrap1
Gm28782	Gm28782
8430432A02Rik	8430432A02Rik
AI597479	AI597479
Fhl2	Fhl2
Gm29040	Gm29040
Nck2	Nck2
1500015O10Rik	1500015O10Rik
Gm29155	Gm29155
Gm29157	Gm29157
Gm29156	Gm29156
Uxs1	Uxs1
Tpp2	Tpp2
Mettl21c	Mettl21c
Gm8251	Gm8251
Tex30	Tex30
Kdelc1	Kdelc1
Bivm	Bivm
Ercc5	Ercc5
Mettl21e	Mettl21e
Gulp1	Gulp1
4930521E06Rik	4930521E06Rik
Col3a1	Col3a1
Col5a2	Col5a2
Wdr75	Wdr75
Gm5269	Gm5269
Slc40a1	Slc40a1
Dnah7b	Dnah7b
Dnah7c	Dnah7c
Slc39a10	Slc39a10
Gm28151	Gm28151
Gm28826	Gm28826
C230029F24Rik	C230029F24Rik
4933411E06Rik	4933411E06Rik
Gm29665	Gm29665
Gm28321	Gm28321
Tmeff2	Tmeff2
Gm28322	Gm28322
Gm28319	Gm28319
Gm29325	Gm29325
9330175M20Rik	9330175M20Rik
Sdpr	Sdpr
1700072G22Rik	1700072G22Rik
Nabp1	Nabp1
Gm17767	Gm17767
Gm28055	Gm28055
Myo1b	Myo1b
Stat4	Stat4
Stat1	Stat1
Gls	Gls
Nab1	Nab1
Gm553	Gm553
Gm28178	Gm28178
Tmem194b	Tmem194b
Mfsd6	Mfsd6
Inpp1	Inpp1
Hibch	Hibch
1700019D03Rik	1700019D03Rik
Mstn	Mstn
1700019A02Rik	1700019A02Rik
Pms1	Pms1
Gm28777	Gm28777
Ormdl1	Ormdl1
Gm28778	Gm28778
Osgepl1	Osgepl1
Gm28551	Gm28551
Asnsd1	Asnsd1
Dnah7a	Dnah7a
Stk17b	Stk17b
Hecw2	Hecw2
Ccdc150	Ccdc150
Gtf3c3	Gtf3c3
Pgap1	Pgap1
Ankrd44	Ankrd44
4930444A19Rik	4930444A19Rik
Sf3b1	Sf3b1
